Rank,Figure ID,Name,Role,Group,Event Count,Image,EN Words,BN Words,SEO,Generic Flags,Tier,Priority Score,Recommended Action
79,cr-dutta,C. R. Dutta,Sector 4 Commander,leader,2,yes,61,50,complete,0,D,32,"expand contribution, context, and impact"
80,cyril-radcliffe,Cyril Radcliffe,Boundary Commission Chair,coordinator,2,yes,57,49,complete,0,D,32,"expand contribution, context, and impact"
81,dhirendranath-datta,Dhirendranath Datta,Language Rights Advocate,leader,2,yes,57,53,complete,0,D,32,"expand contribution, context, and impact"
82,ghyasuddin-ahmed,Ghyasuddin Ahmed,Political organizer,leader,2,yes,58,45,complete,0,D,32,"expand contribution, context, and impact"
83,humayun-azad,Humayun Azad,Writer and academic,leader,2,yes,60,47,complete,0,D,32,"expand contribution, context, and impact"
84,humayun-kabir,Humayun Kabir,Intellectual and Politician,leader,2,yes,63,50,complete,0,D,32,"expand contribution, context, and impact"
85,ila-mitra,Ila Mitra,Peasant Activist,leader,2,yes,60,54,complete,0,D,32,"expand contribution, context, and impact"
86,jasimuddin,Jasimuddin,Poet of Rural Bengal,leader,2,yes,57,47,complete,0,D,32,"expand contribution, context, and impact"
87,jawaharlal-nehru,Jawaharlal Nehru,Congress Leader,leader,2,yes,59,49,complete,0,D,32,"expand contribution, context, and impact"
88,kazi-motahar-hossain,Kazi Motahar Hossain,Scholar and Cultural Intellectual,leader,2,yes,57,50,complete,0,D,32,"expand contribution, context, and impact"
89,khwaja-shahabuddin,Khwaja Shahabuddin,Muslim League Politician,leader,2,yes,61,56,complete,0,D,32,"expand contribution, context, and impact"
90,major-jalil,Major M. A. Jalil,Sector 9 Commander,leader,2,yes,66,52,complete,0,D,32,"expand contribution, context, and impact"
91,major-zafar-imam,Major Zafar Imam,Military Operations Leader,leader,2,yes,63,50,complete,0,D,32,"expand contribution, context, and impact"
92,matia-chowdhury,Matia Chowdhury,Politician,leader,2,yes,56,43,complete,0,D,32,"expand contribution, context, and impact"
93,maulana-akram-khan,Maulana Akram Khan,Journalist and Muslim Public Leader,leader,2,yes,60,55,complete,0,D,32,"expand contribution, context, and impact"
94,meghnad-saha,Meghnad Saha,Physicist and public intellectual,leader,2,yes,54,48,complete,0,D,32,"expand contribution, context, and impact"
95,mir-shawkat-ali,Mir Shawkat Ali,Sector 5 Commander,leader,2,yes,68,46,complete,0,D,32,"expand contribution, context, and impact"
96,mohammad-toaha,Mohammad Toaha,Left Student Activist,leader,2,yes,64,51,complete,0,D,32,"expand contribution, context, and impact"
97,mostafa-kamal,Mostafa Kamal,Bir Sreshtho (Army Martyr),martyr,2,yes,65,52,complete,0,D,32,"expand contribution, context, and impact"
98,moudud-ahmed,Moudud Ahmed,Constitutional Intermediary,coordinator,2,yes,65,52,complete,0,D,32,"expand contribution, context, and impact"
99,muhammad-shahidullah,Muhammad Shahidullah,Linguist and Intellectual Authority,leader,2,yes,56,51,complete,0,D,32,"expand contribution, context, and impact"
100,muzaffar-ahmad,Muzaffar Ahmad,Left Political Thinker,leader,2,yes,60,54,complete,0,D,32,"expand contribution, context, and impact"
101,nihar-ranjan-ray,Nihar Ranjan Ray,Historian of Bengal civilization,leader,2,yes,64,47,complete,0,D,32,"expand contribution, context, and impact"
102,r-c-majumdar,R. C. Majumdar,Historian,leader,2,yes,59,46,complete,0,D,32,"expand contribution, context, and impact"
103,sa-rahman,S. A. Rahman,Boundary Commission Member,coordinator,2,yes,62,51,complete,0,D,32,"expand contribution, context, and impact"
104,selina-hossain,Selina Hossain,Novelist,leader,2,yes,56,43,complete,0,D,32,"expand contribution, context, and impact"
105,somnath-lahiri,Somnath Lahiri,Communist Legislator,leader,2,yes,57,48,complete,0,D,32,"expand contribution, context, and impact"
106,sufia-kamal,Sufia Kamal,Cultural and Civic Voice,leader,2,yes,66,52,complete,0,D,32,"expand contribution, context, and impact"
107,zahir-raihan,Zahir Raihan,Filmmaker and writer,leader,2,yes,53,48,complete,0,D,32,"expand contribution, context, and impact"
108,zohra-tajuddin,Zohra Tajuddin,Political activist,leader,2,yes,58,45,complete,0,D,32,"expand contribution, context, and impact"
109,abdul-matin,Abdul Matin,Language Movement Organizer,coordinator,3,yes,62,51,complete,0,D,31,"expand contribution, context, and impact"
110,abdur-rashid-tarkabagish,Abdur Rashid Tarkabagish,Opposition Speaker and Politician,leader,3,yes,58,50,complete,0,D,31,"expand contribution, context, and impact"
111,abul-kasem,Abul Kashem,Language movement organizer,leader,3,yes,55,43,complete,0,D,31,"expand contribution, context, and impact"
112,ataur-rahman-khan,Ataur Rahman Khan,Opposition Politician,leader,3,yes,52,47,complete,0,D,31,"expand contribution, context, and impact"
113,mag-osmani,M. A. G. Osmani,Commander-in-Chief of Bangladesh Forces,leader,3,yes,66,50,complete,0,D,31,"expand contribution, context, and impact"
114,manik-mia,Manik Mia,Journalist and Public Opinion Builder,leader,3,yes,60,49,complete,0,D,31,"expand contribution, context, and impact"
115,sarat-chandra-bose,Sarat Chandra Bose,United Bengal Advocate,leader,3,yes,55,51,complete,0,D,31,"expand contribution, context, and impact"
116,tofail-ahmed,Tofail Ahmed,Awami League Organizer,leader,3,yes,61,51,complete,0,D,31,"expand contribution, context, and impact"
117,abul-fazal,Abul Fazal,"Writer, educationist, and rationalist Muslim thinker",leader,0,no,80,80,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
118,ahmad-sirhindi,Imam Ahmad Sirhindi,Naqshbandi scholar and Sunni revivalist,leader,0,no,85,84,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
119,ashraf-ali-thanwi,Ashraf Ali Thanwi,Deobandi scholar and religious-social reform influence,leader,0,no,96,90,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
120,farrukh-ahmad,Farrukh Ahmad,Poet of Islamic literary modernism,leader,0,no,85,78,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
121,jibanananda-das,Jibanananda Das,Poet of modern Bengali literature,leader,0,no,82,78,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
122,karamat-ali-jaunpuri,Karamat Ali Jaunpuri,Islamic preacher and reformist debater,leader,0,no,89,91,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
123,muhammad-iqbal,Muhammad Iqbal,Philosopher-poet of Muslim selfhood,leader,0,no,85,80,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
124,munshi-mohammad-meherullah,Munshi Mohammad Meherullah,Islamic debater and social reform writer,leader,0,no,99,87,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
125,professor-abdur-razzaq,Professor Abdur Razzaq,Political thinker and intellectual mentor,leader,0,no,81,78,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
126,qasim-nanautavi,Maulana Qasim Nanautavi,Founder figure of Darul Uloom Deoband,leader,0,no,86,81,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
127,rashid-ahmad-gangohi,Rashid Ahmad Gangohi,Deobandi scholar of fiqh and tasawwuf,leader,0,no,82,79,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
128,shah-abdul-aziz-dehlawi,Shah Abdul Aziz Dehlawi,Hadith scholar and reformist legal thinker,leader,0,no,94,84,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
129,shah-ismail-dehlawi,Shah Ismail Dehlawi,Reformist scholar of tawhid and religious purification,leader,0,no,84,89,complete,0,C,30,consider an image after editorial review; link to a primary timeline event
130,justice-shahabuddin-ahmed,Justice Shahabuddin Ahmed,Caretaker Transition Figure,coordinator,5,yes,63,54,complete,0,D,29,"expand contribution, context, and impact"
131,tikka-khan,Tikka Khan,Pakistan Army general,leader,5,yes,60,47,complete,0,D,29,"expand contribution, context, and impact"
132,abul-hashim,Abul Hashim,Bengal Muslim League Organizer,leader,7,yes,64,53,complete,0,D,28,"expand contribution, context, and impact"
133,mahatma-gandhi,Mahatma Gandhi,Anti-Communal National Leader,leader,6,yes,57,52,complete,0,D,28,"expand contribution, context, and impact"
134,nurul-amin,Nurul Amin,East Bengal Chief Minister,leader,8,yes,52,42,complete,0,D,28,"expand contribution, context, and impact"
135,abul-hussain,Abul Hussain,"Writer, intellectual, and social activist",leader,0,no,123,111,complete,0,B,22,consider an image after editorial review; link to a primary timeline event
136,kazi-abdul-wadud,Kazi Abdul Wadud,"Essayist, literary organizer, and intellectual",leader,0,no,135,121,complete,0,B,22,consider an image after editorial review; link to a primary timeline event
137,lalon-shah,Lalon Shah,"Baul philosopher, mystic poet, and composer",leader,0,no,234,211,complete,0,B,22,consider an image after editorial review; link to a primary timeline event
138,satyajit-ray,Satyajit Ray,"Filmmaker, writer, illustrator, and composer",leader,0,no,218,194,complete,0,B,22,consider an image after editorial review; link to a primary timeline event
139,sayyid-ahmad-barelvi,Sayyid Ahmad Barelvi,Reformist leader of the Tariqah-i-Muhammadiya movement,leader,0,no,216,199,complete,0,B,22,consider an image after editorial review; link to a primary timeline event
140,baksal,Bangladesh Krishak Sramik Awami League,One-Party Political Framework in 1975 Bangladesh,organization,1,no,98,88,complete,0,C,21,consider an image after editorial review
141,bangladesh-jatiya-party,Bangladesh Jatiya Party,Political Party in Bangladesh,organization,1,no,81,78,complete,0,C,21,consider an image after editorial review
142,benazir-ahmed,Benazir Ahmed,Former RAB director general and police chief linked to sanctions and rights-abuse allegations,leader,1,no,113,102,complete,0,C,21,consider an image after editorial review
143,ganatantri-dal,Ganatantri Dal,Left-Leaning Political Party in East Bengal,organization,1,no,88,75,complete,0,C,21,consider an image after editorial review
144,gono-forum,Gono Forum,Reform-Oriented Political Party in Bangladesh,organization,1,no,87,82,complete,0,C,21,consider an image after editorial review
145,hasinur-rahman,Hasinur Rahman,Former army and RAB officer; enforced-disappearance witness,leader,1,no,108,97,complete,0,C,21,consider an image after editorial review
146,islami-andolan-bangladesh,Islami Andolan Bangladesh,Islamist Political Party in Bangladesh,organization,1,no,87,75,complete,0,C,21,consider an image after editorial review
147,khudiram-bose,Khudiram Bose,Anti-colonial revolutionary associated with Jugantar,leader,1,no,107,94,complete,0,C,21,consider an image after editorial review
148,krishak-sramik-party,Krishak Sramik Party,Peasant-Labour Political Party in East Bengal,organization,1,no,93,80,complete,0,C,21,consider an image after editorial review
149,major-rafiqul-islam,Major Rafiqul Islam,Sector 1 Commander (Later Phase),leader,1,no,73,64,complete,0,C,21,consider an image after editorial review
150,mohiuddin-jahangir,Mohiuddin Jahangir,Bir Sreshtho (Army Martyr),martyr,1,no,75,48,complete,0,C,21,consider an image after editorial review
151,nizam-e-islam-party,Nizam-e-Islam Party,Islamic Political Party in East Bengal and Pakistan,organization,1,no,95,89,complete,0,C,21,consider an image after editorial review
152,united-front-1954,United Front,Opposition Electoral Alliance in East Bengal,organization,1,no,116,97,complete,0,C,21,consider an image after editorial review
153,abul-kalam-azad-bachchu-razakar,Abul Kalam Azad (Bachchu Razakar),Fugitive ICT convict known as Bachchu Razakar,leader,2,no,117,95,complete,0,C,20,consider an image after editorial review
154,communist-party-of-india,Communist Party of India,Communist Political Party in Colonial and Postcolonial India,organization,2,no,105,89,complete,0,C,20,consider an image after editorial review
155,forward-bloc,Forward Bloc,Anti-Colonial Political Party Associated with Subhas Chandra Bose,organization,2,no,88,79,complete,0,C,20,consider an image after editorial review
156,hindu-mahasabha,Hindu Mahasabha,Hindu Nationalist Political Organization in British India,organization,2,no,107,88,complete,0,C,20,consider an image after editorial review
157,jahanzeb-arbab,Jahanzeb Arbab,Pakistan Army brigade commander associated with 1971 operations,leader,2,no,95,88,complete,0,C,20,consider an image after editorial review
158,jatiya-party,Jatiya Party,Political Party in Bangladesh,organization,2,no,70,60,complete,0,C,20,consider an image after editorial review
159,khadim-hussain-raja,Khadim Hussain Raja,Pakistan Army commander involved in Operation Searchlight planning,leader,2,no,98,82,complete,0,C,20,consider an image after editorial review
160,m-hamidullah-khan,Squadron Leader M. Hamidullah Khan,Sector 11 Commander (Later Phase),leader,2,no,72,64,complete,0,C,20,consider an image after editorial review
161,mir-quasem-ali,Mir Quasem Ali,Jamaat-e-Islami and Al-Badr figure convicted in a 1971 war-crimes case,leader,2,no,106,93,complete,0,C,20,consider an image after editorial review
162,mk-bashar,Wing Commander M. K. Bashar,Sector 6 Commander,leader,2,no,67,58,complete,0,C,20,consider an image after editorial review
163,national-awami-party,National Awami Party,Left-Nationalist Political Party in Pakistan and Bangladesh,organization,2,no,100,82,complete,0,C,20,consider an image after editorial review
164,ziaul-ahsan,Ziaul Ahsan,Security and intelligence figure linked to disappearance and surveillance allegations,leader,2,no,107,95,complete,0,C,20,consider an image after editorial review
165,ashrafuzzaman-khan,Ashrafuzzaman Khan,Al-Badr figure convicted in absentia in the intellectual-killings case,leader,3,no,89,70,complete,0,C,19,consider an image after editorial review
166,chowdhury-mueen-uddin,Chowdhury Mueen Uddin,Al-Badr figure convicted in absentia in the intellectual-killings case,leader,3,no,95,73,complete,0,C,19,consider an image after editorial review
167,major-ma-manzur,Major M. A. Manzur,Sector 8 and Sector 9 Commander (Later Phase),leader,3,no,76,70,complete,0,C,19,consider an image after editorial review
168,pakistan-peoples-party,Pakistan Peoples Party,Political Party in Pakistan,organization,3,no,83,76,complete,0,C,19,consider an image after editorial review
169,jagadish-chandra-bose,Jagadish Chandra Bose,"Physicist, plant physiologist, and scientific investigator",leader,0,yes,234,190,complete,0,B,14,link to a primary timeline event
170,ab-party,AB Party,Bangladeshi political party founded in 2020,organization,1,no,216,189,complete,0,B,13,consider an image after editorial review
171,abdul-halim-chowdhury,Abdul Halim Chowdhury,Academic and Martyred Intellectual,martyr,1,yes,71,56,complete,0,C,13,
172,abdul-karim-sahitya-bisharad,Abdul Karim Sahitya Bisharad,Cultural Archivist,leader,1,yes,68,52,complete,0,C,13,
173,abdullah-al-amin,Abdullah Al Amin,Coordinator (Students Against Discrimination),coordinator,1,yes,73,67,complete,0,C,13,
174,abu-baker-majumder,Abu Baker Majumder,Coordinator,coordinator,1,yes,71,59,complete,0,C,13,
175,abu-jafar-shamsuddin,Abu Jafar Shamsuddin,"Journalist, novelist, essayist, and public intellectual",leader,1,no,235,215,complete,0,B,13,consider an image after editorial review
176,adilur-rahman-khan,Adilur Rahman Khan,Human-rights advocate and interim-government adviser,leader,1,yes,71,62,complete,0,C,13,
177,ahmed-rafiq,Ahmed Rafiq,"Historian, writer, and interpreter of the Language Movement",leader,1,yes,121,94,complete,0,C,13,
178,akhtar-ahmed,Akhtar Ahmed,Senior Secretary of Bangladesh's Election Commission Secretariat,leader,1,no,220,191,complete,0,B,13,consider an image after editorial review
179,alaol,Alaol,Bengali court poet and translator,leader,1,no,129,109,complete,0,B,13,consider an image after editorial review
180,amm-nasir-uddin,AMM Nasir Uddin,Chief Election Commissioner of Bangladesh,leader,1,no,224,193,complete,0,B,13,consider an image after editorial review
181,andaleeve-rahman-partho,Andaleeve Rahman Partho,Chairman of Bangladesh Jatiya Party,leader,1,no,165,153,complete,0,B,13,consider an image after editorial review
182,anu-muhammad,Anu Muhammad,Influential Supporters & Intellectuals,leader,1,yes,74,60,complete,0,C,13,
183,arif-jebtik,Arif Jebtik,"Online activist, blogger, and political commentator",leader,1,yes,125,83,complete,0,C,13,
184,arif-sohel,Arif Sohel,Coordinator (Students Against Discrimination),coordinator,1,yes,71,65,complete,0,C,13,
185,asaduzzaman-fuaad,Barrister Asaduzzaman Fuaad,General secretary of AB Party,leader,1,no,176,163,complete,0,B,13,consider an image after editorial review
186,azimullah-khan,Azimullah Khan,Political adviser to Nana Sahib,coordinator,1,yes,126,88,complete,0,C,13,
187,badiul-alam-majumdar,Badiul Alam Majumdar,Chief of the Election Reform Commission,leader,1,no,183,161,complete,0,B,13,consider an image after editorial review
188,bakht-bali,Bakht Bali,Regional rebel leader during 1857,coordinator,1,yes,110,86,complete,0,C,13,
