post_no,category,series,headline_bn,hook_bn,main_focus,reader_connection,historical_angle,modern_connection,format,image_concept,discussion_question_bn,seo_potential,follow_up_topic,priority,map_recommended
11,Bengal & Bangladesh history,—,বাংলার বন্দর কি শুধু চট্টগ্রাম আর কলকাতা ছিল?,নদীর মোহনা লবণ চাল কাপড় ও জাহাজ বহু ছোট বন্দরকে এক জালে বেঁধেছিল।,Satgaon Sonargaon Hooghly Chittagong and inland ports,Readers discover local places in global trade,Port prominence shifted with rivers and political power,Regional trade and port redevelopment,Map explainer,Indian Ocean routes with Bengal port nodes,আপনার শহর কি একসময় নদীবন্দর ছিল?,Bengal ports history,হুগলি নদীর বন্দর-রাজনীতি,High,Yes
12,Empires states and political transformation,—,দিল্লির সুলতানরা বাংলাকে পুরোপুরি নিয়ন্ত্রণ করতে পারত না কেন?,দূরত্বের সঙ্গে নদী স্থানীয় শক্তি ও আঞ্চলিক রাজনীতিও সাম্রাজ্যের সীমা বানায়।,Delhi governorates regional sultanates ecology and autonomy,Geography becomes a force in political history,Frontier governance repeatedly produced Bengal autonomy,Centre-periphery tensions remain a useful lens,Map explainer,Delhi-to-Bengal route and river barriers,ভূগোল কি কখনও সাম্রাজ্যের চেয়ে শক্তিশালী?,Delhi Sultanate Bengal,ইলিয়াস শাহ কীভাবে ঐক্য গড়লেন?,High,Yes
13,Religion culture and ideas,—,বাউল সুফি ও ভক্তি—‘মিশ্র সংস্কৃতি’ কথাটি কতটা যথেষ্ট?,মিলনের গল্প সত্যি কিন্তু তার ভেতরেও ক্ষমতা ভিন্নতা ও স্থানীয় ইতিহাস ছিল।,Shared forms separate traditions oral culture and limits of the syncretic label,Nuance protects cultural identity from simplification,Plural traditions can overlap without becoming identical,Useful model for discussing cultural coexistence,Comparative history,Instruments manuscript and folk motif,মিলন দেখাতে গিয়ে ভিন্নতাকে কি আমরা মুছে ফেলি?,Bengal syncretic culture,লালনকে ঘিরে ইতিহাস ও স্মৃতি,Medium,No
14,Global historical peoples,—,প্যালেস্টাইনের মানচিত্র কেন বারবার বদলেছে?,1948 1967 বসতি শরণার্থী ও প্রশাসনিক বিভাজন—একটি রেখা একা গল্প বলে না।,Mandate wars displacement refugees and competing claims,Historical geography connects to lived displacement,Chronology helps separate facts claims and interpretations,Refugee memory and contested sovereignty,Timeline/map,Restrained layered map with dates,মানচিত্র বদলালে শরণার্থীর ঘর কোথায় থাকে?,Palestine history map,আর্মেনীয় উদ্বাস্তু ও রাষ্ট্র,High,Yes
15,Bengal & Bangladesh history,—,বঙ্গের কৃষক কি শুধু জমিদারের প্রজা ছিল?,পাবনা থেকে তেভাগা কৃষকরা দরকষাকষি সমিতি ও আইনের ভাষাও ব্যবহার করেছে।,Pabna tenancy law Tebhaga and peasant organisation,Rural people appear as political actors,Peasant politics used petitions law and collective action,Land rights and rural representation,Timeline,Tenancy share diagram and petition texture,কৃষকের প্রতিবাদ কি কেবল বিদ্রোহ নাকি রাজনৈতিক সংগঠনও?,Bengal peasant movements,তেভাগার দুই-তৃতীয়াংশ কোথা থেকে এল?,High,No
16,South Asian peoples,—,চাকমা পরিচয়ের ইতিহাসে পাহাড় রাষ্ট্র ও উদ্বাস্তুতা একসঙ্গে কেন আসে?,পার্বত্য ভূগোল বাদ দিলে পরিচয় ও নাগরিকত্বের প্রশ্ন বোঝা যায় না।,CHT frontier state formation displacement and peace process,Community-sensitive history connects place to belonging,State projects and migration changed a frontier,Peace accord and citizenship remain consequential,Map explainer,CHT terrain with minimal migration arrows,পাহাড়ি ভূগোল কি সমান নাগরিকত্বের প্রশ্ন বদলে দেয়?,Chakma history Bangladesh,পার্বত্য চট্টগ্রাম চুক্তির অসমাপ্ত প্রশ্ন,High,Yes
17,Economy,—,পাট কেন ‘সোনালি আঁশ’ হয়েও কৃষকের জীবন বদলাতে পারেনি সবসময়?,বিশ্ববাজারে দাম বাড়া আর চাষির আয় বাড়া এক জিনিস নয়।,Colonial export chains mills middlemen partition and policy,National commodity pride meets producer reality,Value chains distribute gains unevenly,Commodity policy and rural livelihoods,Economic history,Jute fibre river boat and export route,কাঁচামালের খ্যাতি কার হাতে লাভ হয়?,Jute history Bengal,পাটকল ও শ্রমিক রাজনীতি,High,Yes
18,Borders partition geopolitics,—,একটি নদী কি রাষ্ট্রের সীমানা হতে পারে?,নদী সরে গেলে সীমান্ত জমি ও মানুষের পরিচয়ও অনিশ্চিত হয়।,River boundaries chars thalweg and India Bangladesh examples,Local landscape becomes international law,Environmental change complicates fixed borders,Water sharing and riverbank displacement,Border explainer,Before/after river map,নদী বদলালে সীমান্ত কি বদলানো উচিত?,River boundary India Bangladesh,গঙ্গা পানি চুক্তির ভূগোল,High,Yes
19,Empires states and political transformation,সাম্রাজ্য কীভাবে ভাঙে,মুঘল সাম্রাজ্য কি ১৮৫৭-তেই শেষ হয়েছিল?,দিল্লির পতন ছিল দৃশ্যমান সমাপ্তি—ক্ষয় তার আগেই দীর্ঘ ছিল।,18th-century regionalisation Company power and 1857 symbolism,Corrects a common compressed narrative,Sovereignty can erode before a formal endpoint,Empire decline as a comparative historical tool,Myth vs History,Three-stage Mughal sovereignty timeline,সাম্রাজ্যের শেষ মানে কি রাজধানীর পতন?,Mughal decline 1857,বাংলায় মুঘল থেকে নবাবি,High,No
20,Religion culture and ideas,—,বাংলায় মুদ্রণযন্ত্র এলে শুধু বই নয় জনপরিসরও বদলাল কীভাবে?,পাঠ্য সংবাদ ধর্মীয় বিতর্ক ও জাতীয় পরিচয় ছাপাখানায় নতুন গতি পেল।,Print education vernacular public sphere and mobilisation,Readers connect media change to public life,Print created new networks of argument and identity,Media literacy and public debate,Timeline,Press type blocks and newspaper fragments,ছাপা শব্দ কি রাজনৈতিক পরিচয় তৈরি করতে পারে?,Bengali printing history,ঢাকা বিশ্ববিদ্যালয় ও নতুন শিক্ষিত সমাজ,High,No
21,South Asian peoples,—,রোহিঙ্গা ইতিহাস ২০১৭ সালে শুরু হয়নি—কোন ধারাগুলো আগে তৈরি হয়েছিল?,২০১৭-এর বিপর্যয় বুঝতে সীমা নাগরিকত্ব ও আগের বাস্তুচ্যুতি দেখতে হয়।,Arakan Rakhine colonial categories citizenship and refugee movements,Prevents a crisis from becoming a one-year story,Long historical processes shape displacement and refuge,Humanitarian policy and border life,Timeline/map,Rakhine Bangladesh corridor with source labels,শরণার্থী সংকটকে শুধু একটি বছরের ঘটনা বানালে কী বাদ পড়ে?,Rohingya history,নাফ নদী ও সীমান্ত-জীবন,High,Yes
22,Global historical peoples,—,আর্মেনীয়রা কীভাবে রাষ্ট্র গণহত্যার স্মৃতি ও প্রবাসের জাতিতে পরিণত হলো?,ভূখণ্ডের পাশাপাশি স্মৃতি ও প্রবাসও রাজনৈতিক শক্তি।,Late Ottoman context 1915 terminology diaspora and modern state,Memory and migration become historical institutions,The 1915 terminology and recognition landscape remain contested,Recognition and diaspora politics remain consequential,Timeline,Armenian highlands and diaspora routes,রাষ্ট্রের বাইরে স্মৃতি কীভাবে জাতির বন্ধন হয়?,Armenian history diaspora,কপটিক পরিচয় ও রাষ্ট্র,High,Yes
23,Bengal & Bangladesh history,যে শহর একসময়…,ঢাকা কখন নদীর শহর থেকে সাম্রাজ্যের রাজধানী হলো?,রাজধানী বদল মানে প্রাসাদ নয় নৌপথ রাজস্ব কারিগর ও বাজারের নতুন বিন্যাস।,Jahangirnagar Mughal administration river commerce and urban change,Explains the city readers inhabit,Capital formation links state power to everyday infrastructure,Urban growth and heritage,Before / After,1610 Dhaka map with river routes,একটি রাজধানী গড়তে কী কী মানুষ লাগে?,Dhaka history Jahangirnagar,মুর্শিদাবাদ কেন উঠল?,High,Yes
24,Empires states and political transformation,Myth vs History,গুপ্ত যুগকে ‘সোনালি যুগ’ বলা কি ইতিহাসকে সহজ করে ফেলে?,উজ্জ্বলতা সত্যি কিন্তু সমাজ অঞ্চল ও প্রমাণের অসমতা ভুললে ছবি অসম্পূর্ণ।,Historiography regional variation political economy and evidence limits,Readers learn to question period labels,Golden-age narratives shape textbook memory and identity,Better historical literacy,Myth vs History,Golden-age label beside evidence categories,সোনালি যুগ—কার জন্য?,Gupta golden age debate,প্রাচীন বাংলার নগরজীবন,High,No
25,Borders partition geopolitics,মানচিত্রের পেছনের ইতিহাস,র‍্যাডক্লিফ লাইন এত তাড়াহুড়োয় আঁকা হয়েছিল কেন?,সমস্যা শুধু সময়ের স্বল্পতা নয় ডেটা প্রশাসন সহিংসতা ও চাপও ছিল।,Boundary commission criteria maps award timing and consequences,Partition becomes a process readers can visualise,Boundary decisions can outlive their makers,Map-making and border memory,Map carousel,Inputs to line to villages and railways cut,সীমানা আঁকার সময় কোন তথ্য সবচেয়ে গুরুত্বপূর্ণ?,Radcliffe Line explained,সিলেট গণভোট,High,Yes
26,South Asian peoples,—,পশতুন পরিচয় কেন একাধিক রাষ্ট্রের সীমা মানে না?,দ্যুরান্ড লাইন উপজাতীয় অঞ্চল সাম্রাজ্য ও নাগরিকত্ব একসঙ্গে কাজ করে।,Frontier-making and varied Pashtun political positions,Challenges uniform ethnic narratives,Colonial boundaries and later citizenship diverged,Security and autonomy debates,Border explainer,Afghanistan Pakistan frontier layers,ঔপনিবেশিক সীমা কি আধুনিক জাতির সীমা হতে পারে?,Pashtun Durand Line,বালুচ পরিচয় ও সম্পদ-রাজনীতি,High,Yes
27,Economy,ইতিহাসের অর্থনীতি,ঋণ রাজস্ব আর যুদ্ধ—কোম্পানি কীভাবে বাংলার অর্থে শক্তিশালী হলো?,পলাশীর আড়ালে হিসাব রাজস্ব ও অর্থের প্রবাহও আছে।,Diwani revenue military finance bankers and institutional change,Explains conquest through mechanisms rather than heroes,Public finance linked Company power to colonial rule,Taxation and state capacity,Economic explainer,Revenue flow from district to Company army,যুদ্ধ জিততে টাকা কোথা থেকে আসে?,East India Company Bengal revenue,জগত শেঠ ও ব্যাংকার নেটওয়ার্ক,High,Yes
28,Religion culture and ideas,—,বৌদ্ধ বিহারগুলো কি শুধু ধর্মীয় প্রতিষ্ঠান ছিল?,সোমপুরা ও ময়নামতি জ্ঞান শিল্প যাত্রা ও আঞ্চলিক ক্ষমতারও অংশ ছিল।,Monastic economy knowledge circulation architecture and travel,Heritage becomes social infrastructure,Historical knowledge networks crossed present borders,Archaeology and heritage tourism,Photo/archive-led,Somapura plan with route lines,একটি বিহার কি বিশ্ববিদ্যালয় কর্মশালা ও তীর্থ—সবই হতে পারে?,Somapura Mahavihara history,অতীশ দীপঙ্করের যাত্রাপথ,High,Yes
29,South Asian peoples,—,নাগা রাজনৈতিক ইতিহাসকে ‘পাহাড়ি বিচ্ছিন্নতা’ বলে শেষ করা যায় না কেন?,উপনিবেশ শিক্ষা স্বায়ত্তশাসন ও একাধিক অবস্থান ছিল।,Colonial frontier missionary education and post-1947 negotiations,Readers meet internal diversity rather than stereotype,Identity politics emerged through institutions and territory,Autonomy and federalism,Timeline/map,Naga Hills administrative layers,স্বায়ত্তশাসন আর বিচ্ছিন্নতা কি একই কথা?,Naga political history,মণিপুরের বহুমাত্রিক পরিচয়,Medium,Yes
30,Borders partition geopolitics,Past → Present,কাশ্মীরের প্রশ্ন ১৯৪৭-এ শুরু হলেও ১৯৪৭-এ শেষ হয়নি কেন?,দেশভাগ যুদ্ধ জাতিসংঘ নিয়ন্ত্রণরেখা ও মানুষের অভিজ্ঞতা অসমাপ্তি তৈরি করেছে।,Competing claims divided administration and chronology,Connects a familiar issue to its historical layers,Ceasefires and lines can become durable political realities,Contemporary geopolitics and memory,Timeline/map,1947 to LoC layered map,একটি যুদ্ধবিরতি কীভাবে স্থায়ী সীমান্তে পরিণত হয়?,Kashmir history explained,হায়দরাবাদ ও দেশীয় রাজ্য,High,Yes
31,Bengal & Bangladesh history,—,সুন্দরবন কি শুধু বন—নাকি সীমান্ত জীবিকা ও জলবায়ুর ইতিহাস?,বাঘের গল্পের বাইরে বনটি নৌপথ বসতি লবণাক্ততা ও নিয়ন্ত্রণের গল্প।,Delta ecology forest settlement livelihoods and shared landscape,Readers connect environment to identity and work,Ecology and governance shaped a borderland,Climate adaptation and conservation,Map/photo-led,Mangrove channels and fishing route,প্রকৃতি সংরক্ষণ আর মানুষের জীবিকা কীভাবে একসঙ্গে ভাবব?,Sundarbans history,উপকূলের চর ও জলবায়ু-অভিবাসন,High,Yes
32,Empires states and political transformation,—,মারাঠা শক্তি বাংলায় এলেই কি ‘বর্গি’ গল্প শেষ?,আক্রমণ রাজস্ব সামরিক গতিশীলতা ও লোকস্মৃতি একটি শব্দের চেয়ে বড়।,18th-century raids Alivardi response rural memory and source limits,Popular memory meets archival complexity,War affected revenue and rural security,How historical memory is inherited,Myth vs History,Raid routes and Bengal districts,লোকস্মৃতি আর দলিলকে কীভাবে পাশাপাশি পড়ব?,Bargi invasions Bengal,বাংলার নবাবি প্রতিরক্ষা,High,Yes
33,South Asian peoples,—,বালুচিস্তানের গল্প শুধু বিচ্ছিন্নতাবাদ নয়—ভূমি সম্পদ ও ফেডারেল ক্ষমতারও,একই পরিচয়ের ভেতরেও রাজনৈতিক অবস্থান এক নয়।,Colonial incorporation Kalat federal structure and resource politics,Challenges single-story geopolitics,Resource distribution shapes centre-periphery relations,Ports minerals and regional development,Map explainer,Balochistan resources roads and ports,সম্পদসমৃদ্ধ অঞ্চল কেন সবসময় সমৃদ্ধ হয় না?,Balochistan history,সিন্ধি জাতীয়তাবাদ,Medium,Yes
34,Economy,—,লবণ নিয়ে এত রাজনীতি কেন?,দৈনন্দিন জিনিস হলেও কর একচেটিয়া বাণিজ্য ও প্রতিরোধের প্রতীক হয়েছে।,Colonial salt policy coastal production and Gandhi politics,Everyday life becomes political economy,Essential commodities expose state extraction,Tax and food-security debates,Economic timeline,Salt pans tax stamp and coastal route,যে জিনিস সবার দরকার তার ওপর করের রাজনীতি কেমন হয়?,Salt tax India history,আফিম বাণিজ্য ও সাম্রাজ্য,High,No
35,Religion culture and ideas,—,ভাষা কি পরিচয়ের ফল নাকি পরিচয়ও ভাষা বানায়?,বাংলা উর্দু অসমিয়া ও তামিল অভিজ্ঞতা এক নয়।,Compare language movements and state formation without flattening,Readers see their language in a wider pattern,Language policy can reorganise belonging and representation,Multilingual citizenship,Comparative carousel,Four language maps and chronologies,রাষ্ট্রের ভাষা আর মানুষের ভাষার দূরত্ব কীভাবে তৈরি হয়?,Language politics South Asia,তামিল ভাষা আন্দোলনের দীর্ঘ ইতিহাস,High,Yes
36,Global historical peoples,—,বাস্করা কেন স্পেন ও ফ্রান্সের মাঝেও আলাদা পরিচয় ধরে রেখেছে?,ভাষা ভূগোল শিল্পায়ন দমন ও স্বায়ত্তশাসন পরিচয়কে টিকিয়েছে।,Basque language territory industrialisation and political change,Comparative identity story without romanticising violence,Language and regional institutions outlast borders,Autonomy and cultural policy,Comparative history,Basque Country linguistic map,ভাষা কি রাষ্ট্র ছাড়াও রাজনৈতিক পরিচয়ের ভিত্তি হতে পারে?,Basque history,কাতালান পরিচয় ও স্বায়ত্তশাসন,Medium,Yes
37,Bengal & Bangladesh history,ভুলে যাওয়া বাংলা,বাংলার নারী শিক্ষার ইতিহাস শুধু বিদ্যাসাগর-রোকেয়ার গল্প নয়—প্রতিষ্ঠানও ছিল,স্কুল মুদ্রণ পরিবার ও পেশার ধীর পরিবর্তন গল্পটিকে বড় করে।,Women education institutions teachers and social debate,Expands history beyond two famous figures,Institution-building changed access and public life,Education and gendered opportunity,Photo/archive-led,School register classroom and portrait collage,শিক্ষার ইতিহাসে প্রতিষ্ঠানকে আমরা কতটা মনে রাখি?,Women education Bengal,বেথুন স্কুল ও ঔপনিবেশিক জনপরিসর,High,No
38,Borders partition geopolitics,মানচিত্রের পেছনের ইতিহাস,সিলেটের গণভোট কি দেশভাগের সহজ সিদ্ধান্ত ছিল?,ভোটের আগে প্রশাসন প্রচার পরিচয় ও সীমান্ত-জীবনের বহু স্তর ছিল।,1947 referendum geography campaigns and consequences,Shows how a vote can have long aftermath,Referendum did not erase economic and family ties,Border identity and memory,Map carousel,Referendum area result and aftermath,গণভোট কি সবসময় মানুষের ভবিষ্যৎ পরিষ্কার করে?,Sylhet referendum 1947,বরাক উপত্যকা ও ভাষা,High,Yes
39,Empires states and political transformation,—,শিখ সাম্রাজ্য কীভাবে পাঞ্জাবের রাজনৈতিক মানচিত্র বদলেছিল?,এটি শুধু রঞ্জিত সিংহের কাহিনি নয় সেনা রাজস্ব কূটনীতি ও সীমান্তেরও।,State formation Lahore frontier Company relations and annexation,Regional history gains depth beyond partition,Military-fiscal states reshape imperial balance,Frontier politics and federal memory,Timeline/map,Peak Sikh Empire with frontier markers,একটি আঞ্চলিক রাষ্ট্র কীভাবে সাম্রাজ্যের ভারসাম্য বদলায়?,Sikh Empire history,পাঞ্জাবের দেশভাগের দীর্ঘ ছায়া,High,Yes
40,South Asian peoples,—,তামিল পরিচয়ের রাজনীতি কীভাবে ভাষা থেকে ফেডারেল অধিকারে গেল?,ভাষা-প্রতিরোধ শিক্ষা দলীয় রাজনীতি ও কেন্দ্র-রাজ্য সম্পর্ক বদলেছে।,Anti-Hindi movements Dravidian politics and federalism,Connects language to power not only sentiment,Language movements shaped constitutional federalism,State autonomy and representation,Timeline,Tamil Nadu language-policy milestones,ভাষা আন্দোলন কীভাবে প্রশাসনিক ক্ষমতার প্রশ্ন হয়?,Tamil language politics,বাংলা ভাষা ও রাষ্ট্রের সম্পর্ক,High,Yes
41,Bengal & Bangladesh history,ইতিহাসের অর্থনীতি,১৯৪৩-এর দুর্ভিক্ষ কি শুধু ফসলের ঘাটতির গল্প?,খাদ্য ছিল কিন্তু যুদ্ধ পরিবহন বাজার মজুত ও ক্রয়ক্ষমতার সংকট মানুষকে বাঁচতে দেয়নি।,Famine as distribution governance and entitlement crisis,Food security becomes a human question,Availability and access are different political problems,Food prices and resilience,Economic explainer,Rice routes prices boats and ration queue,খাদ্য থাকা আর মানুষের খাবার পাওয়া—একই কথা?,Bengal famine 1943 causes,1770 ও 1943 দুর্ভিক্ষের পার্থক্য,High,Yes
42,South Asian peoples,—,গোরখা পরিচয় কি শুধু সেনাবাহিনীর ইতিহাস?,নিয়োগ পাহাড় অভিবাসন ভাষা ও নাগরিক অধিকারের গল্পও আছে।,Gorkha recruitment Darjeeling Nepal India and identity politics,Foregrounds civilian and migrant histories,Professional labels interact with ethnicity and citizenship,Migration and representation,Comparative map,Recruitment routes and settlement regions,পেশাগত পরিচয় কখন জাতিগত পরিচয়ের সঙ্গে জুড়ে যায়?,Gorkha history India Nepal,দার্জিলিং ও পাহাড়ি রাজনীতি,Medium,Yes
43,Global historical peoples,—,উইঘুরদের ইতিহাসে মরুভূমি বাণিজ্যপথ ও রাষ্ট্রের সীমা কীভাবে জড়িত?,বর্তমানের শিরোনামের আগে ছিল দীর্ঘ বাণিজ্য ও বহু পরিচয়ের ইতিহাস।,Silk Road oasis societies Qing incorporation and modern identity,History resists present-only framing,Trade routes and state formation shaped cultural geography,Contemporary identity and governance,Map timeline,Oasis cities and trade corridors,বাণিজ্যপথ কি পরিচয়কে এক করে নাকি বহু করে?,Uyghur history,তিব্বতি পরিচয় ও ভূ-রাজনীতি,Medium,Yes
44,Bengal & Bangladesh history,যে শহর একসময়…,মুর্শিদাবাদ কেন বাংলার ক্ষমতার কেন্দ্র থেকে স্মৃতির শহর হলো?,রাজধানী বদল কোম্পানি শাসন ও নদী-অর্থনীতি শহরটির ভাগ্য বদলেছে।,Capital shift nawabi administration Plassey aftermath and memory,Fresh angle on familiar 18th-century history,Power can leave a city while heritage remains,Urban heritage and tourism,Before / After,Murshidabad court river and Company route,ক্ষমতা চলে গেলে শহর কি মরে নাকি অন্য জীবন পায়?,Murshidabad history,কলকাতার উত্থান,High,Yes
45,Empires states and political transformation,—,প্রিন্সলি স্টেটগুলো কি ব্রিটিশ ভারতের ‘বাইরের’ দেশ ছিল?,সার্বভৌমত্ব চুক্তি ও অধীনতার মাঝখানে তাদের অবস্থান জটিল ছিল।,Paramountcy treaty relations and 1947 accession,Clarifies Hyderabad Kashmir and Cooch Behar,Partial sovereignty shaped decolonisation,State integration and constitutional memory,Comparative map,British India and princely-state mosaic,সার্বভৌমত্ব কি সবসময় সম্পূর্ণ বা শূন্য?,Princely states British India,কোচবিহার ও ছিটমহল,High,Yes
46,Borders partition geopolitics,মানচিত্রের পেছনের ইতিহাস,ম্যাকমোহন লাইন কেন শুধু একটি পাহাড়ি দাগ নয়?,মানচিত্র তিব্বত ব্রিটিশ কূটনীতি চীন-ভারত সম্পর্ক ও স্থানীয় জনগোষ্ঠী জড়িত।,1914 Simla context and later dispute with attribution,Maps become contested political documents,Historical cartography affects current geopolitics,Border claims and Himalayan infrastructure,Map explainer,Himalayan passes and treaty-era map,দূরের কূটনৈতিক মানচিত্রে স্থানীয় মানুষের জায়গা কোথায়?,McMahon Line history,আকসাই চিন ও মানচিত্রের রাজনীতি,Experimental,Yes
47,Economy,ইতিহাসের অর্থনীতি,ব্যাংকাররা কি শুধু নবাবদের পাশে ছিল—নাকি ক্ষমতার অংশ ছিল?,ঋণ রাজস্ব অগ্রিম বাণিজ্য ও যুদ্ধের অর্থ জগত শাসনের গতিপথ বদলাতে পারে।,Merchant bankers Jagat Seth credit and Company finance,Power is seen beyond soldiers and rulers,Financial networks mediated political transition,Modern banking and state finance,Economic history,Ledger river trade and credit arrows,ক্ষমতা কি কেবল সৈন্যের হাতে থাকে?,Jagat Seth Bengal banking,উপমহাদেশে হুন্ডি নেটওয়ার্ক,High,No
