Rank,Figure ID,Name,Role,Group,Event Count,Priority Score,Tags
81,alaol,Alaol,Court Poet,leader,1,130,
82,amm-nasir-uddin,AMM Nasir Uddin,Chief Election Commissioner,leader,1,130,"election-commission, election-2026, administration"
83,andaleeve-rahman-partho,Andaleeve Rahman Partho,Chairman of Bangladesh Jatiya Party,leader,1,130,"parliament, reform, election-2026"
84,asaduzzaman-fuaad,Barrister Asaduzzaman Fuaad,General secretary of AB Party,leader,1,130,"ab-party, election-2026, campaign"
85,badiul-alam-majumdar,Badiul Alam Majumdar,Chief of the Election Reform Commission,leader,1,130,"reform-commission, election-2026, transparency"
86,bangla-bhai,Siddique ul-Islam (Bangla Bhai),JMJB/JMB militant commander,leader,1,130,"militancy, jmb, jmjb"
87,benazir-ahmed,Benazir Ahmed,Former RAB director general and police chief linked to sanctions and rights-abuse allegations,leader,1,130,"bangladesh, rab, police, sanctions, human-rights, enforced-disappearance, accountability"
88,bhaskaravarman,Bhaskaravarman,Kamarupa King,leader,1,130,
89,charu-majumdar,Charu Majumdar,Radical left political organizer,leader,1,130,"west-bengal, left-politics, naxalite, contested-history"
90,dudu-miyan,Dudu Miyan,Organizer of Faraizi peasant mobilization,leader,1,130,"faraizi, peasant, agrarian, muslim-history"
91,fazlur-rahman,Fazlur Rahman,BNP leader and freedom fighter,leader,1,130,"bnp, election-2026, freedom-fighter"
92,ghiyasuddin-azam-shah,Ghiyasuddin Azam Shah,Sultan of Bengal,leader,1,130,
93,harshavardhana,Harshavardhana,North Indian Ruler,leader,1,130,
94,hasinur-rahman,Hasinur Rahman,Former army and RAB officer; enforced-disappearance witness,leader,1,130,"bangladesh, human-rights, enforced-disappearance, aynaghar, rab, dgfi, military, 2018, 2020, 2026, accountability"
95,junayed-al-habib,Maulana Junayed Al Habib,Jamiat-e-Ulema-e-Islam Bangladesh vice-president,leader,1,130,"alliance, election-2026, jamiat"
96,kazi-abdul-wadud,Kazi Abdul Wadud,Essayist and Intellectual,leader,1,130,
97,khan-bahadur-ahsanullah,Khan Bahadur Ahsanullah,Educationist and social philanthropist,leader,1,130,"education, philanthropy, muslim-history, society"
98,khwaja-usman,Khwaja Usman,Afghan Resistance Leader,leader,1,130,
99,mahdi-amin,Mahdi Amin,BNP Central Election Steering Committee spokesperson,leader,1,130,"bnp, election-2026, spokesperson"
100,mahipala-i,Mahipala I,Later Pala ruler linked to political recovery and consolidation,leader,1,130,"bengal-history, rulership, political-transition"
101,major-rafiqul-islam,Major Rafiqul Islam,Sector 1 Commander (Later Phase),leader,1,130,"sector-1, command-transition, southeastern-front"
102,mohammad-ali-jauhar,Mohammad Ali Jauhar,Khilafat leader in anti-colonial mass politics,leader,1,130,"khilafat, anti-colonial, mass-politics"
103,mufti-hannan,Mufti Abdul Hannan,HuJI-B militant leader and convicted attacker,leader,1,130,"militancy, huji-b, counter-terrorism"
104,nizamul-huq-judge,Nizamul Huq,Judge,leader,1,130,
105,paragal-khan,Paragal Khan,Military Governor and Patron,leader,1,130,
106,rukunuddin-barbak-shah,Rukunuddin Barbak Shah,Sultan of Bengal,leader,1,130,
107,rumeen-farhana,Rumeen Farhana,Independent candidate and former BNP leader,leader,1,130,"independent, election-2026, bnp"
108,saifuddin-firuz-shah,Saifuddin Firuz Shah,Sultan of Bengal,leader,1,130,
109,salahuddin-ahmed,Salahuddin Ahmed,Senior BNP Standing Committee member,leader,1,130,"bnp, election-2026, transition"
110,shafiqur-rahman,Shafiqur Rahman,Ameer of Bangladesh Jamaat-e-Islami,leader,1,130,"jamaat-e-islami, election-2026, opposition"
111,shah-jalal,Shah Jalal,Sufi figure associated with the Sylhet conquest era,leader,1,130,"sylhet, sufism, medieval, frontier"
112,shah-muhammad-sagir,Shah Muhammad Sagir,Poet of Early Bengali Muslim Literature,leader,1,130,
113,shaukat-ali,Shaukat Ali,Khilafat organizer and movement leader,leader,1,130,"khilafat, mass-movement, politics"
114,sikandar-khan-ghazi,Sikandar Khan Ghazi,Commander linked to the Sylhet campaign,leader,1,130,"sylhet, campaign, sultanate"
115,sulaiman-khan-karrani,Sulaiman Khan Karrani,Karrani Ruler of Bengal,leader,1,130,
116,syed-abdullah-mohammad-taher,Syed Abdullah Mohammad Taher,Deputy leader of Bangladesh Jamaat-e-Islami,leader,1,130,"jamaat-e-islami, election-2026, parliament"
117,syed-sultan,Syed Sultan,Bengali Muslim Poet,leader,1,130,
118,tarique-rahman,Tarique Rahman,Chairman of the Bangladesh Nationalist Party,leader,1,130,"bnp, election-2026, prime-minister"
119,todar-mal,Todar Mal,Mughal Revenue Administrator,leader,1,130,
120,vijaya-sena,Vijaya Sena,Sena ruler associated with transition in late pre-Sultanate Bengal,leader,1,130,"bengal-history, rulership, political-transition"
121,warren-hastings,Warren Hastings,Company Governor-General,leader,1,130,
122,ab-party,AB Party,Political Party in Bangladesh,organization,1,95,
123,baksal,Bangladesh Krishak Sramik Awami League,One-Party Political Framework in 1975 Bangladesh,organization,1,95,"1975, baksal, one-party-system, state-crisis, party-politics"
124,bangladesh-jatiya-party,Bangladesh Jatiya Party,Political Party in Bangladesh,organization,1,95,"election-2026, parliament, coalition-politics, reform, party-politics"
125,ganatantri-dal,Ganatantri Dal,Left-Leaning Political Party in East Bengal,organization,1,95,"1954, united-front, left-politics, east-bengal, party-politics"
126,gono-forum,Gono Forum,Reform-Oriented Political Party in Bangladesh,organization,1,95,"kamal-hossain, reform-politics, 2018-election, opposition-politics, party-politics"
127,islami-andolan-bangladesh,Islami Andolan Bangladesh,Islamist Political Party in Bangladesh,organization,1,95,"islamist-politics, election-2026, religious-politics, bangladesh, party-politics"
128,krishak-sramik-party,Krishak Sramik Party,Peasant-Labour Political Party in East Bengal,organization,1,95,"1954, united-front, ak-fazlul-huq, peasant-politics, party-politics"
129,national-citizen-party,National Citizen Party,Student-Led Political Party in Bangladesh,organization,1,95,
130,nizam-e-islam-party,Nizam-e-Islam Party,Islamic Political Party in East Bengal and Pakistan,organization,1,95,"1954, united-front, east-bengal, islamic-politics, party-politics"
131,united-front-1954,United Front,Opposition Electoral Alliance in East Bengal,organization,1,95,"1954, united-front, east-bengal, autonomy-politics, party-politics"
132,david-hare,David Hare,Education reformer in early colonial Calcutta,intellectual,1,70,"education, reform, calcutta, bengal-renaissance"
133,henry-louis-vivian-derozio,Henry Louis Vivian Derozio,"Teacher, poet, and early Bengal Renaissance intellectual",intellectual,1,70,"bengal-renaissance, education, young-bengal, intellectual"
134,mohiuddin-jahangir,Mohiuddin Jahangir,Bir Sreshtho (Army Martyr),martyr,1,70,"bir-sreshtho, army, chapai-nawabganj"
135,abul-fazal,Abul Fazal,"Writer, educationist, and rationalist Muslim thinker",leader,0,100,"literature, education, rationalism, bengali-muslim"
136,ahmad-sirhindi,Imam Ahmad Sirhindi,Naqshbandi scholar and Sunni revivalist,leader,0,100,"naqshbandi, islamic-reform, intellectual-history, south-asia"
137,ahmad-sofa,Ahmad Sofa,Writer and critic of Bengali Muslim identity,leader,0,100,"literature, identity, bengali-muslim, intellectual-history"
138,ashraf-ali-thanwi,Ashraf Ali Thanwi,Deobandi scholar and religious-social reform influence,leader,0,100,"deobandi, religious-reform, muslim-history, south-asia"
139,farrukh-ahmad,Farrukh Ahmad,Poet of Islamic literary modernism,leader,0,100,"poetry, islamic-literature, bengali-muslim, literary-modernism"
140,jibanananda-das,Jibanananda Das,Poet of modern Bengali literature,leader,0,100,"poetry, literature, modernity, bengali-canon"
141,karamat-ali-jaunpuri,Karamat Ali Jaunpuri,Islamic preacher and reformist debater,leader,0,100,"islamic-reform, preaching, muslim-history, colonial-bengal"
142,khan-jahan-ali,Khan Jahan Ali,Sufi administrator and regional builder in Bengal,leader,0,100,"sultanate, architecture, bagerhat, regional-history"
143,khudiram-bose,Khudiram Bose,Revolutionary anti-colonial activist,leader,0,100,"anti-colonial, revolutionary, swadeshi-era, martyr-memory"
144,lalon-shah,Lalon Shah,Mystic poet and Baul philosopher,leader,0,100,"baul, folk-culture, spirituality, pluralism"
145,matangini-hazra,Matangini Hazra,Grassroots anti-colonial activist,leader,0,100,"anti-colonial, women-history, mass-politics, bengal"
146,maulana-abul-kalam-azad,Maulana Abul Kalam Azad,Muslim scholar-politician of anti-colonial India,leader,0,100,"anti-colonial, education, pluralism, muslim-history"
147,muhammad-iqbal,Muhammad Iqbal,Philosopher-poet of Muslim selfhood,leader,0,100,"philosophy, poetry, muslim-political-thought, south-asia"
148,munshi-mohammad-meherullah,Munshi Mohammad Meherullah,Islamic debater and social reform writer,leader,0,100,"islamic-debate, social-reform, muslim-history, colonial-bengal"
149,professor-abdur-razzaq,Professor Abdur Razzaq,Political thinker and intellectual mentor,leader,0,100,"intellectual-history, political-thought, bangladesh, mentorship"
150,qasim-nanautavi,Maulana Qasim Nanautavi,Founder figure of Darul Uloom Deoband,leader,0,100,"deoband, madrasa, islamic-scholarship, south-asia"
151,rashid-ahmad-gangohi,Rashid Ahmad Gangohi,Deobandi scholar of fiqh and tasawwuf,leader,0,100,"deoband, fiqh, tasawwuf, ulama"
152,satyajit-ray,Satyajit Ray,Filmmaker and literary-cultural figure,leader,0,100,"cinema, culture, bengali-modernity, literature"
153,sayyid-ahmad-barelvi,Sayyid Ahmad Barelvi,Reformist leader of the Tariqah-i-Muhammadiya,leader,0,100,"tariqah-i-muhammadiya, resistance, islamic-reform, south-asia"
154,shah-abdul-aziz-dehlawi,Shah Abdul Aziz Dehlawi,Hadith scholar and reformist legal thinker,leader,0,100,"hadith, islamic-reform, legal-thought, south-asia"
155,shah-ismail-dehlawi,Shah Ismail Dehlawi,Reformist scholar of tawhid and religious purification,leader,0,100,"tawhid, islamic-reform, religious-debate, south-asia"
156,shah-waliullah-dehlawi,Shah Waliullah Dehlawi,Islamic scholar and reformist intellectual root,leader,0,100,"islamic-reform, intellectual-history, muslim-history, south-asia"
157,sheikh-abdur-rahim,Sheikh Abdur Rahim,Journalist and Bengali Muslim literary reformer,leader,0,100,"journalism, literature, muslim-history, bengali-prose"
158,shibli-nomani,Shibli Nomani,Islamic historian and literary scholar,leader,0,100,"islamic-history, biography, nadwa, intellectual-history"
159,syed-ahmad-khan,Syed Ahmad Khan,Muslim reformer and education modernizer,leader,0,100,"education, reform, muslim-history, colonial"
160,zainul-abedin,Zainul Abedin,Artist and institution builder,leader,0,100,"art, famine, modernity, culture"
161,debendranath-tagore,Debendranath Tagore,Brahmo reformer and intellectual organizer,intellectual,0,40,"brahmo-samaj, reform, bengal-renaissance"
162,keshab-chandra-sen,Keshab Chandra Sen,Brahmo Samaj reformer and public speaker,intellectual,0,40,"brahmo-samaj, reform, public-debate"
163,pulin-behari-das,Pulin Behari Das,Revolutionary organizer in eastern Bengal,revolutionary,0,40,"anushilan, swadeshi, anti-colonial, eastern-bengal"
